,french,latin,english,id
295,Grive à gorge rousse,Turdus ruficollis,Red-throated Thrush,grive.a.gorge.rousse
296,Grive à joues grises,Catharus minimus,Grey-cheeked Thrush,grive.a.joues.grises
297,Grive dama,Zoothera dauma,Scaly Thrush,grive.dama
298,Grive de Naumann,Turdus naumanni,Naumann's Thrush,grive.de.naumann
299,Grive de Sibérie,Geokichla sibirica,Siberian Thrush,grive.de.siberie
300,Grive dorée,Zoothera aurea,White's Thrush,grive.doree
301,Grive draine,Turdus viscivorus,Mistle Thrush,grive.draine
302,Grive fauve,Catharus fuscescens,Veery,grive.fauve
303,Grive litorne,Turdus pilaris,Fieldfare,grive.litorne
304,Grive mauvis,Turdus iliacus,Redwing,grive.mauvis
305,Grive musicienne,Turdus philomelos,Song Thrush,grive.musicienne
306,Grive obscure,Turdus obscurus,Eyebrowed Thrush,grive.obscure
307,Grosbec casse-noyaux,Coccothraustes coccothraustes,Hawfinch,grosbec.casse-noyaux
308,Grue cendrée,Grus grus,Common Crane,grue.cendree
309,Grue demoiselle,Grus virgo,Demoiselle Crane,grue.demoiselle
310,Grue du Canada,Antigone canadensis,Sandhill Crane,grue.du.canada
311,Guêpier d'Europe,Merops apiaster,European Bee-eater,guepier.d.europe
312,Guêpier de Perse,Merops persicus,Blue-cheeked Bee-eater,guepier.de.perse
313,Guifette leucoptère,Chlidonias leucopterus,White-winged Tern,guifette.leucoptere
314,Guifette moustac,Chlidonias hybrida,Whiskered Tern,guifette.moustac
315,Guifette noire,Chlidonias niger,Black Tern,guifette.noire
316,Guillemot à miroir,Cepphus grylle,Black Guillemot,guillemot.a.miroir
317,Guillemot de Brünnich,Uria lomvia,Thick-billed Murre,guillemot.de.brunnich
318,Guillemot de Troïl,Uria aalge,Common Murre,guillemot.de.troil
319,Gypaète barbu,Gypaetus barbatus,Bearded Vulture,gypaete.barbu
320,Harelde boréale,Clangula hyemalis,Long-tailed Duck,harelde.boreale
321,Harfang des neiges,Bubo scandiacus,Snowy Owl,harfang.des.neiges
322,Harle bièvre,Mergus merganser,Common Merganser,harle.bievre
323,Harle huppé,Mergus serrator,Red-breasted Merganser,harle.huppe
324,Harle piette,Mergellus albellus,Smew,harle.piette
325,Héron cendré,Ardea cinerea,Grey Heron,heron.cendre
326,Héron garde-boeufs,Bubulcus ibis,Western Cattle Egret,heron.garde-boeufs
327,Héron intermédiaire,Ardea intermedia,Intermediate Egret,heron.intermediaire
328,Héron mélanocéphale,Ardea melanocephala,Black-headed Heron,heron.melanocephale
329,Héron pourpré,Ardea purpurea,Purple Heron,heron.pourpre
330,Héron strié,Butorides striata,Striated Heron,heron.strie
331,Héron vert,Butorides virescens,Green Heron,heron.vert
332,Hibou des marais,Asio flammeus,Short-eared Owl,hibou.des.marais
333,Hibou moyen-duc,Asio otus,Long-eared Owl,hibou.moyen-duc
334,Hirondelle à front blanc,Petrochelidon pyrrhonota,American Cliff Swallow,hirondelle.a.front.blanc
335,Hirondelle de fenêtre,Delichon urbicum,Common House Martin,hirondelle.de.fenetre
336,Hirondelle de rivage,Riparia riparia,Sand Martin,hirondelle.de.rivage
337,Hirondelle de rochers,Ptyonoprogne rupestris,Eurasian Crag Martin,hirondelle.de.rochers
338,Hirondelle paludicole,Riparia paludicola,Brown-throated Martin,hirondelle.paludicole
339,Hirondelle rousseline,Cecropis daurica,Red-rumped Swallow,hirondelle.rousseline
340,Hirondelle rustique,Hirundo rustica,Barn Swallow,hirondelle.rustique
341,Huîtrier pie,Haematopus ostralegus,Eurasian Oystercatcher,huitrier.pie
342,Huppe fasciée,Upupa epops,Eurasian Hoopoe,huppe.fasciee
343,Hypolaïs bottée,Iduna caligata,Booted Warbler,hypolais.bottee
344,Hypolaïs ictérine,Hippolais icterina,Icterine Warbler,hypolais.icterine
345,Hypolaïs obscure,Iduna opaca,Western Olivaceous Warbler,hypolais.obscure
346,Hypolaïs pâle,Iduna pallida,Eastern Olivaceous Warbler,hypolais.pale
